Abandon,[ə'bændən],v.放弃;抛弃;放纵
Abstract,['æbstrækt],adj.抽象的 n.摘要
Academic,[ˌækə'demɪk],adj.学术的;学院的
Access,['ækses],n.进入;使用权 v.存取
Accommodate,[ə'kɒmədeɪt],v.容纳;使适应;供应
Accompany,[ə'kʌmpəni],v.陪伴;伴随;伴奏
Accumulate,[ə'kjuːmjəleɪt],v.积累;积聚
Accurate,['ækjərət],adj.精确的;准确的
Achieve,[ə'tʃiːv],v.实现;达到;完成
Acknowledge,[ək'nɒlɪdʒ],v.承认;致谢
Acquire,[ə'kwaɪər],v.获得;学到
Adapt,[ə'dæpt],v.使适应;改编
Adequate,['ædɪkwət],adj.足够的;适当的
Adjacent,[ə'dʒeɪsnt],adj.邻近的;毗连的
Adjust,[ə'dʒʌst],v.调整;校准
Administration,[ədˌmɪnɪ'streɪʃn],n.管理;行政;政府
Adult,['ædʌlt],n.成年人 adj.成年的
Advocate,['ædvəkeɪt],v.提倡;主张 n.拥护者
Affect,[ə'fekt],v.影响;感动;假装
Aggregate,['æɡrɪɡət],v.集合;合计 n.总计
Aid,[eɪd],n.援助;助手 v.援助
Albeit,[ɔːl'biːɪt],conj.虽然;尽管
Allocate,['æləkeɪt],v.分配;拨出
Alter,['ɔːltər],v.改变;更改
Alternative,[ɔːl'tɜːrnətɪv],n.供替代的选择
Ambiguous,[æm'bɪɡjuəs],adj.模棱两可的
Amend,[ə'mend],v.修改;改进
Analogy,[ə'nælədʒi],n.类比;类似
Analyze,['ænəlaɪz],v.分析;分解
Annual,['ænjuəl],adj.每年的 n.年刊
Anticipate,[æn'tɪsɪpeɪt],v.预期;期望
Apparent,[ə'pærənt],adj.显然的;表面的
Append,[ə'pend],v.附加;添加
Appreciate,[ə'priːʃieɪt],v.欣赏;感激;领会
Approach,[ə'proʊtʃ],v.接近 n.方法
Appropriate,[ə'proʊpriət],adj.适当的
Approximate,[ə'prɒksɪmət],adj.大约的 v.近似
Arbitrary,['ɑːrbɪtrəri],adj.任意的;武断的
Area,['eriə],n.区域;面积;范围
Aspect,['æspekt],n.方面;面貌
Assemble,[ə'sembl],v.集合;装配
Assess,[ə'ses],v.评定;估价
Assign,[ə'saɪn],v.分配;指派
Assist,[ə'sɪst],v.协助;支持
Assume,[ə'suːm],v.假定;承担
Assure,[ə'ʃʊr],v.保证;担保
Attach,[ə'tætʃ],v.系上;使依附
Attain,[ə'teɪn],v.达到;获得
Attitude,['ætɪtuːd],n.态度;看法
Attribute,[ə'trɪbjuːt],v.归结于 n.属性