Aesthetic,[es'θetɪk],adj.美学的;审美的
Ambivalent,[æm'bɪvələnt],adj.矛盾的;犹豫不决的
Anachronism,[ə'nækrənɪzəm],n.时代错误;过时的人
Anonymous,[ə'nɒnɪməs],adj.匿名的;无特色的
Antagonism,[æn'tæɡənɪzəm],n.对抗;敌意
Archaeology,[ˌɑːki'ɒlədʒi],n.考古学
Articulate,[ɑː'tɪkjuleɪt],adj.善于表达的 v.清晰地说
Autonomous,[ɔː'tɒnəməs],adj.自治的;自主的
Benign,[bɪ'naɪn],adj.良性的;和蔼的
Bias,['baɪəs],n.偏见;偏好
Bureaucracy,[bjʊə'rɒkrəsi],n.官僚主义;官僚机构
Catalyst,['kætəlɪst],n.催化剂;促进因素
Chronological,[ˌkrɒnə'lɒdʒɪkl],adj.按时间顺序的
Cognitive,['kɒɡnətɪv],adj.认知的;感知的
Cohesive,[koʊ'hiːsɪv],adj.凝聚的;有结合力的
Collaboration,[kəˌlæbə'reɪʃn],n.合作;协作
Commensurate,[kə'menʃərət],adj.相称的;相当的
Compile,[kə'paɪl],v.汇编;编译
Complacent,[kəm'pleɪsnt],adj.自满的;得意的
Concur,[kə'kɜːr],v.同意;一致;互助
Condone,[kən'doʊn],v.宽恕;容忍
Connoisseur,[ˌkɒnə'sɜːr],n.鉴赏家;内行
Consensus,[kən'sensəs],n.共识;一致意见
Conspicuous,[kən'spɪkjuəs],adj.显著的;显眼的
Constituent,[kən'stɪtʃuənt],n.成分;选民
Contamination,[kənˌtæmɪ'neɪʃn],n.污染;弄脏
Contentious,[kən'tenʃəs],adj.引起争论的;爱争吵的
Corroborate,[kə'rɒbəreɪt],v.证实;使坚固
Curtail,[kɜː'teɪl],v.缩减;剥夺
Cynical,['sɪnɪkl],adj.愤世嫉俗的;冷嘲热讽的
Daunting,['dɔːntɪŋ],adj.使人畏缩的
Deficiency,[dɪ'fɪʃnsi],n.缺陷;不足
Deleterious,[ˌdelə'tɪəriəs],adj.有害的;有毒的
Demographic,[ˌdemə'ɡræfɪk],adj.人口统计学的
Deplete,[dɪ'pliːt],v.耗尽;枯竭
Deteriorate,[dɪ'tɪəriəreɪt],v.恶化;变坏
Diffuse,[dɪ'fjuːs],v.传播;散布 adj.弥漫的
Discrepancy,[dɪ'skrepənsi],n.差异;矛盾
Disseminate,[dɪ'semɪneɪt],v.宣传;传播
Divergent,[daɪ'vɜːrdʒənt],adj.分歧的;偏离的
Dormant,['dɔːrmənt],adj.休眠的;潜伏的
Efficacy,['efɪkəsi],n.功效;效力
Egalitarian,[iˌɡælɪ'teəriən],adj.平等主义的
Elicit,[i'lɪsɪt],v.引出;抽出
Elucidate,[i'luːsɪdeɪt],v.阐明;说明
Elusive,[i'luːsɪv],adj.难懂的;易忘的
Emancipate,[i'mænsɪpeɪt],v.解放;释放
Empirical,[em'pɪrɪkl],adj.经验主义的
Emulate,['emjuleɪt],v.仿真;模仿;竞争
Endemic,[en'demɪk],adj.地方性的;典型的